2023 Progressive Metal Albums,,Releases:,1410,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
,,LPs:,1206,,,,,,,,
,,EPs:,209,,,,,,,,
,,Debuts:,286,,,,,,,,
,,Reissue/Special:,21,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
Re-Buried,Repulsive Nature,January 20,LP,Death metal,Harsh,"Seattle, WA",BC,S,,,
Nothingness,Supraliminal,January 20,LP,Death metal,Harsh,"Minneapolis, MN",BC,S,YT,,
Druids Of Eld,A Day Of Sorrow,January 20,EP,"Black metal, Doom metal, Folk",Mixed,"Melbourne, Australia",BC,S,,,
Sabaton,Heroes Of The Great War,January 20,EP,"Power metal, Heavy metal",Clean,Sweden,BC,S,,,
Celestial Scourge,Dimensions Unfurled,January 20,EP,Technical Death metal,Harsh,Norway,BC,S,,,
Twilight Force,At The Heart Of Wintervale,January 20,LP,"Power metal, Symphonic metal",Clean,"Falun, Sweden",BC,S,,,
Cløudy Skies,Changes,January 20,LP,"Post-metal, Shoegaze",Mixed,"Paris, France",BC,S,,,
Cthulhu Dreamt,Precursor,January 20,LP,"Prog-metal, Death metal, Djent",Mixed,USA,BC,S,,,
Hollow Hour,Till the Grey Skies Are Gone,January 20,LP,Prog-metal,Clean,Denmark,,S,,,
Nola,Stranded,January 20,LP,Prog-metal,Clean,"Hamburg, Germany",BC,S,,,
Natt,Natt,January 20,LP,Post-metal,Instrumental,"Bergen, Norway",BC,S,,,
Ether Lens,Ether Lens,January 21,EP,Prog-metal,Clean,"Springfield, MO",BC,S,,,
Halfduck,Dead In The Water,January 22,LP,Prog-metal,Instrumental,UK,BC,S,,,
Conjureth,The Parasitic Chambers,January 23,LP,Death metal,Harsh,"San Diego, CA",BC,S,,,
The World is Quiet Here,Zon,January 27,LP,"Prog-metal, Metalcore",Mixed,"Oshkosh, WI",BC,S,,,
...And Oceans,"As in Gardens, So in Tombs",January 27,LP,Symphonic Black metal,Harsh,"Jakobstad, Finland",BC,S,YT,,
Mask of Prospero,Hiraeth,January 27,LP,"Prog-metal, Metalcore",Mixed,"Athens, Greece",BC,S,,,
Ashen Horde,Antimony,January 27,LP,"Prog-metal, Black metal",Mixed,"Los Angeles, CA",BC,S,YT,,
Seer of the Void,Mantra Monolith,January 27,LP,Doom metal,Clean,"Athens, Greece",BC,S,YT,,
Raum Kingdom,Monarch,January 27,LP,"Post-metal, Sludge metal",Mixed,"Ireland, UK",BC,S,YT,,
Marco Garau's Magic Opera,Battle of Ice,January 27,LP,"Power metal, Symphonic metal",Clean,"Milan, Italy",BC,S,,,
Anachronism,Meanders,January 27,LP,Dissonant Death metal,Harsh,"Lausanne, Switzerland",BC,S,YT,,
Grief Symposium,.​.​.​In The Absence Of Light,January 27,LP,Death Doom metal,Mixed,UK,BC,S,YT,,
Signo Rojo,There Was A Hole Here,January 27,LP,Sludge metal,Mixed,Sweden,BC,S,,,
Psychostasy,The Empty Circle,January 27,LP,Deathcore,Harsh,"Modena, Italy",BC,S,,,
Ablaze My Sorrow,The Loss Of All Hope,January 27,EP,Melodic Death metal,Mixed,Sweden,BC,S,YT,,
Daevar,Delirious Rites,January 27,EP,"Stoner metal, Doom metal",Clean,"Cologne, Germany",BC,S,YT,,
Superterrestrial,The Fathomless Decay,January 27,LP,Black metal,Harsh,"Crawley, UK",BC,S,YT,,
Anzillu,Ex Nihilo,January 27,LP,Extreme metal,Mixed,"Helsinki, Finland",BC,S,,,
Wrasp,Wrasp,January 27,LP,"Post-metal, Doom metal, Sludge metal",Harsh,"Troy, NY",BC,S,,,
The Enigma Division,The Enigma Division,January 27,LP,Prog-metal,Clean,"Dublin, UK",BC,S,,,
Oozing Wound,We Cater To Cowards,January 27,LP,"Sludge metal, Crossover Thrash, Noise rock",Harsh,"Chicago, IL",BC,S,,,
Malice Divine,Everlasting Ascendancy,January 27,LP,"Melodic Black metal, Death metal",Harsh,"Toronto, Canada",BC,S,YT,,
Corvus Corone,Abandoned in Spring,January 27,LP,Funeral Doom metal,Mixed,"Kansas City, MO",BC,S,,,
The Walrus Resists,J.Murdoch Odyssey,January 27,EP,"Prog-metal, Djent",Mixed,"Montpellier, France",BC,S,,,
KUYASHII,Dreams,January 27,LP,Post-metal,Instrumental,"Atlanta, GA",BC,S,,,
Sorrowful Land,Faded Anchors Of The Past,January 27,LP,Death Doom metal,Mixed,Ukraine,BC,S,,,
Sentient,The Truth That's Behind Us,January 27,LP,Metalcore,Mixed,"Tokyo, Japan",BC,S,,,
Luiz Toffoli,Enigma Garden,January 27,LP,Prog-metal,Clean,Brazil,BC,S,,,
Third Eye,Vengeance Fulfilled,January 27,LP,Prog-metal,Clean,Denmark,BC,S,,,
Zac Leaser,Libera,January 27,LP,Technical Death metal,Harsh,"Fort Worth, TX",BC,S,YT,,
Bizarrekult,Den Tapte Krigen,January 27,LP,Post-Black metal,Mixed,Norway,BC,S,,,
Pollard Row,The All Seeing Eye,January 27,LP,"Prog-metal, Post-metal",Mixed,"Adelaide, Australia",BC,S,,,
Falaise,After All This Time,January 31,LP,Blackgaze,Harsh,"Todi, Italy",BC,S,,,
Daemonian,The Frost Specter's Wrath,January 31,LP,Melodic Black metal,Harsh,Japan,BC,,,,
Overseer,Overseer,February 1,EP,"Prog-metal, Djent",Mixed,"London, UK",BC,S,,,
An Evening With Knives,FNR Sessions,February 2,LP,Stoner metal,Clean,"Eindhoven, Netherlands",BC,S,,,
Vnder A Crvmbling Moon,0​.​1 The Prelude,February 2,LP,"Doom metal, Black metal, Post-metal",Mixed,UK,BC,,,,
Xandria,The Wonders Still Awaiting,February 3,LP,Symphonic metal,Clean,"Bielefeld, Germany",BC,S,,,
FVNERALS,Let the Earth be Silent,February 3,LP,"Doom metal, Post-metal, Shoegaze",Clean,"Leipzig, Germany",BC,S,,,
WuW,L'Orchaostre,February 3,LP,"Post-metal, Doom metal",Instrumental,"Paris, France",BC,S,YT,,
Blackwülf,Thieves and Liars,February 3,LP,"Stoner metal, Heavy metal",Clean,"Oakland, CA",BC,S,YT,,
Rexoria,Imperial Dawn,February 3,LP,"Power metal, Heavy metal",Clean,Sweden,BC,S,,,
Palace of Worms,Cabal,February 3,LP,"Prog-metal, Black metal, Doom metal",Mixed,"San Francisco, CA",BC,S,,,
Remote Viewing,Modern Addictions,February 3,LP,"Sludge metal, Noise rock",Harsh,"London, UK",BC,S,,,
Hollowed,Hymns to a Deaf God,February 3,LP,"Sludge metal, Noise rock",Mixed,"Olathe, KS",BC,S,YT,,
Mithridatum,Harrowing,February 3,LP,Dissonant Death metal,Harsh,USA,BC,S,YT,,
EYES,Congratulations,February 3,LP,"Metalcore, Hardcore Punk",Harsh,"Copenhagen, Denmark",BC,S,,,
Osiah,Chronos,February 3,EP,"Technical Death metal, Deathcore",Harsh,"Sunderland, UK",BC,S,,,
Meliorist,Cascade,February 3,LP,Post-Hardcore,Mixed,"Brisbane, Australia",BC,S,,,
Soulmass,Let Us Pray,February 3,LP,Death metal,Harsh,"Florida, FL",BC,S,YT,,
Dissordawtisms,A Presentation... Of Simple Ideas,February 3,LP,Mathgrind,Harsh,Spain,BC,S,,,
Tentacult,Lacerating Pattern,February 3,LP,Death metal,Harsh,"Sacramento, CA",BC,S,,,
Hakkon,The Fifth Cessation,February 3,EP,"Prog-metal, Sludge metal",Clean,Indonesia,BC,S,,,
Great Falls,Funny What Survives,February 3,EP,"Post-Hardcore, Sludge metal",Harsh,"Seattle, WA",BC,S,,,
Conspiracy Of Zero,Ahthos Arouris,February 3,LP,"Prog-metal, Death metal",Mixed,Greece,BC,S,YT,,
Ephaisus,False Throne,February 3,LP,Prog-metal,Instrumental,"Toronto, Canada",BC,S,,,
BleakHeart,Twilight Visions,February 3,EP,"Doom metal, Shoegaze",Clean,"Denver, CO",BC,S,,,
Returning,Severance,February 3,LP,Atmospheric Black metal,Harsh,"Olympia, WA",BC,S,,,
Chora,There Lies a Friend I Once Knew,February 3,LP,"Atmospheric Sludge metal, Post-metal",Harsh,"Memphis, TN",BC,S,,,
Aneanani,Syzygy II,February 4,EP,Prog-metal,Mixed,Sweden,BC,S,,,
Willoos,Begeerte,February 5,LP,Blackgaze,Mixed,"Utrecht, Netherlands",BC,S,YT,,
CIRCVIT,Continuum,February 6,LP,"Prog-metal, Metalcore",Mixed,"Erlangen, Germany",BC,S,,,
Sacrificial Burial,Firstborn,February 6,EP,"Melodic Death metal, Thrash metal",Harsh,"Glasgow, UK",BC,S,,,
Lieform,Crimes,February 7,LP,"Alt-metal, Post-Grunge, Stoner rock",Mixed,"Boise, ID",BC,S,,,
In Flames,Foregone,February 10,LP,Melodic Death metal ,Mixed,"Gothenburg, Sweden",BC,S,,,
Flub,Dream Worlds,February 10,EP,Deathcore,Harsh,"Sacramento, CA",BC,S,,,
STORMO,Endocannibalismo,February 10,LP,"Post-Hardcore, Screamo",Harsh,Italy,BC,S,,,
